Name,Artist,Intensity,Engagement,Theater,Sappiness,Depression,Rebellion,Genre,Period,Link
Take me to Church,Hozier,8,5,3,1,7,7,Indie,2010s,https://www.youtube.com/watch?v=PVjiKRfKpPI
Somebody That I Used to Know,Gotye,4,3,3,6,8,3,Indie,2010s,https://www.youtube.com/watch?v=8UVNT4wvIGY
Work Song,Hozier,5,3,2,7,6,1,Indie,2010s,https://www.youtube.com/watch?v=nH7bjV0Q_44
Cherry Wine,Hozier,3,2,1,6,9,1,Indie,2010s,https://www.youtube.com/watch?v=SdSCCwtNEjA
Someone New,Hozier,4,4,4,7,5,4,Indie,2010s,https://www.youtube.com/watch?v=bPJSsAr2iu0
From Eden,Hozier,3,2,2,5,5,3,Indie,2010s,https://www.youtube.com/watch?v=cI0wUoCLnLk
Sweater Weather,The Neighbourhood,4,5,4,6,1,6,Indie,2010s,https://www.youtube.com/watch?v=GCdwKhTtNNw
Summertime Sadness,Lana Del Rey,5,2,5,6,9,3,Pop,2010s,https://www.youtube.com/watch?v=TdrL3QxjyVw
Young and Beautiful,Lana Del Rey,4,4,3,8,6,2,Indie,2010s,https://www.youtube.com/watch?v=o_1aF54DO60
Pumped Up Kicks,Foster the People,4,3,2,1,9,7,Indie,2010s,https://www.youtube.com/watch?v=SDTZ7iX4vTQ
Bittersweet Symphony,The Verve,6,3,4,1,8,5,Pop,1990s,https://www.youtube.com/watch?v=1lyu1KKwC74
November Rain,Guns 'n' Roses,7,4,8,7,8,3,Rock,1990s,https://www.youtube.com/watch?v=8SbUC-UaAxE
Sweet Child O' Mine,Guns 'n' Roses,7,6,4,5,3,5,Rock,1980s,https://www.youtube.com/watch?v=1w7OgIMMRc4
Nothing Else Matters,Metallica,10,5,6,1,10,6,Rock,1990s,https://www.youtube.com/watch?v=tAGnKpE4NC
I Don't Want to Miss a Thing,Aerosmith,6,5,7,10,4,3,Rock,1990s,https://www.youtube.com/watch?v=JkK8g6FMEXE
What's Up,4 Non Blondes,4,6,3,1,7,9,Rock,1990s,https://www.youtube.com/watch?v=6NXnxTNIWkc
Runaway Train,Soul Asylum,4,6,6,1,8,4,Rock,1990s,https://www.youtube.com/watch?v=NRtvqT_wMeY
Mmm Mmm Mmm Mmm,Crash Test Dummies,3,4,1,2,6,2,Indie,1990s,https://www.youtube.com/watch?v=eTeg1txDv8w
Androgynous,Crash Test Dummies,2,3,2,4,1,6,Folk-rock,1990s,https://www.youtube.com/watch?v=eby-I7hA9nc
God Shuffled His Feet,Crash Test Dummies,3,2,4,1,1,4,Rock,1990s,https://www.youtube.com/watch?v=0aqlS9SOkjs
Losing My Religion,R.E.M.,4,7,5,3,8,6,Rock,1990s,https://www.youtube.com/watch?v=xwtdhWltSIg
The One I Love,R.E.M.,6,5,4,4,7,3,Indie,1980s,https://www.youtube.com/watch?v=j7oQEPfe-O8
Everybody Hurts,R.E.M.,3,2,6,6,9,2,Rock,1990s,https://www.youtube.com/watch?v=5rOiW_xY-kc
Man on the Moon,R.E.M.,2,1,1,3,5,2,Rock,1990s,https://www.youtube.com/watch?v=dLxpNiF0YKs
Drops of Jupiter,Train,4,2,4,6,3,1,Pop,2000s,https://www.youtube.com/watch?v=7Xf-Lesrkuc
Hey Soul Sister,Train,3,6,3,8,2,1,Pop,2000s,https://www.youtube.com/watch?v=kVpv8-5XWOI
I'm Yours,Jason Mraz,1,6,2,8,3,1,Pop,2000s,https://www.youtube.com/watch?v=y_NnTs4_W5s
Let Her Go,Passenger,3,5,4,9,7,3,Indie,2010s,https://www.youtube.com/watch?v=RBumgq5yVrA
Hey There Delilah,Plain White T's,1,5,5,8,6,2,Indie,2000s,https://www.youtube.com/watch?v=h_m-BjrxmgI
Fast Car,Tracy Chapman,4,4,3,4,6,4,Folk-rock,1980s,https://www.youtube.com/watch?v=AIOAlaACuv4
Here Comes the Rain Again,Eurythmics,5,5,6,3,7,3,Indie,1980s,https://www.youtube.com/watch?v=TzFnYcIqj6I
Sweet Dreams,Eurythmics,7,8,7,2,6,4,Pop,1980s,https://www.youtube.com/watch?v=qeMFqkcPYcg
Enjoy the Silence,Depeche Mod,4,3,4,1,7,4,Pop,1990s,https://www.youtube.com/watch?v=aGSKrC7dGcY
Eyes Without a Face,Billy Idol,5,3,6,4,8,3,New wave,1980s,https://www.youtube.com/watch?v=9OFpfTd0EIs
Tainted Love,Soft Cell,6,9,5,8,5,2,New wave,1980s,https://www.youtube.com/watch?v=ZcyCQLewj10
Where Did Our Love Go,Soft Cell,4,9,4,8,4,1,New wave,1980s,https://www.youtube.com/watch?v=YgyZk4PJqFc
Head Over Heels,Tears for Fears,3,7,6,10,1,3,Pop,1980s,https://www.youtube.com/watch?v=CsHiG-43Fzg
Everybody Wants to Rule the World,Tears for Fears,6,3,5,1,4,5,New wave,1980s,https://www.youtube.com/watch?v=aGCdLKXNF3w
Shout,Tears for Fears,6,4,6,1,6,7,Goth,1980s,https://www.youtube.com/watch?v=Ye7FKc1JQe4
Dreams,Fleetwood Mac,4,3,6,3,7,6,Rock,1970s,https://www.youtube.com/watch?v=5oWyMakvQew
Rhiannon,Fleetwood Mac,5,4,6,2,7,5,Rock,1970s,https://www.youtube.com/watch?v=qQU5nS8G7K8
The Chain,Fleetwood Mac,7,4,7,2,7,6,Rock ,1970s,https://www.youtube.com/watch?v=iLC-tHvkNvI
Heart of Glass,Blondie,4,5,4,6,2,3,Pop,1970s,https://www.youtube.com/watch?v=WGU_4-5RaxU
One Way or Another,Blondie,6,7,6,3,3,6,Rock,1970s,https://www.youtube.com/watch?v=valVixMpzQY
Girls Just Want to Have Fun,Cyndi Lauper,3,8,3,4,1,4,Pop,1980s,https://www.youtube.com/watch?v=PIb6AZdTr-A
It's a Heartache,Bonnie Tyler,4,3,3,10,5,1,Pop,1970s,https://www.youtube.com/watch?v=bEOl38y8Nj8
Total Eclipse of the Heart,Bonnie Tyler,6,7,6,9,6,2,Pop,1980s,https://www.youtube.com/watch?v=lcOxhH8N3Bo
Time after Time,Cyndi Lauper,4,3,4,7,4,3,Rock,1980s,https://www.youtube.com/watch?v=3KdBCFclSC0
Teardrops on my Guitar,Taylor Swift,3,4,2,8,4,1,Pop,2000s,https://www.youtube.com/watch?v=xKCek6_dB0M
Back to December,Taylor Swift,4,3,3,8,5,1,Pop,2010s,https://www.youtube.com/watch?v=QUwxKWT6m7U
Willow,Taylor Swift,3,2,5,6,6,3,Pop,2020s,https://www.youtube.com/watch?v=RsEZmictANA
